	Pro1	Pro2	Pro3	R2F01	R2F16
PB.91.2284	3	1	3	5	5
PB.91.2289	6	2	4	9	5
PB.91.2293	2	4	2	5	6
PB.91.2295	6	2	1	2	5
PB.91.2460	35	4	9	8	19
PB.91.2492	18	13	8	35	28
PB.91.2493	1	2	1	2	1
PB.91.2497	110	67	52	144	98
PB.91.2498	8	7	22	16	10
PB.91.2532	190	115	114	290	186
PB.91.2537	4	4	1	13	12
PB.91.2548	3	1	1	5	4
PB.91.2591	9	6	1	4	4
PB.91.2597	5	1	2	2	2
PB.91.2602	81	22	19	50	27
PB.91.2605	32	12	15	19	20
PB.91.2616	2	2	1	5	1
PB.91.2636	35	8	13	31	18
PB.91.2637	58	19	13	26	49
PB.91.2642	11	3	4	8	6
PB.91.2643	3	2	1	4	4
PB.91.2662	17	6	3	9	10
PB.91.2690	6	3	1	5	7
PB.91.2692	13	3	1	7	3
PB.91.2693	14	2	3	6	9
PB.91.2706	3	3	1	5	2
PB.91.2713	9	4	3	9	4
PB.91.2715	9	2	1	2	1
PB.91.2718	27	12	2	11	6
PB.91.2726	59	38	19	87	113
PB.91.2730	513	87	87	187	100
PB.91.2731	37	6	6	4	3
PB.91.2732	15	1	1	6	3
PB.91.2764	11	3	3	27	13
PB.91.2768	79	37	44	137	47
PB.91.2816	31	13	13	58	10
PB.91.2828	2926	1223	953	3390	4506
PB.91.2829	8	5	8	19	5
PB.91.2830	16	5	8	22	20
PB.91.2833	2	1	3	6	4
PB.91.2835	8	5	1	9	18
PB.91.2836	7	2	7	22	12
PB.91.2840	3	1	2	5	7
PB.91.2856	3	1	1	3	1
PB.91.2867	1	2	1	5	8
PB.91.2881	8	2	2	8	8
PB.91.2946	6	3	1	4	2
PB.91.2951	2	3	1	4	3
PB.91.2953	11	6	1	14	10
PB.91.2962	16	10	3	14	8
PB.91.2978	19	4	7	7	7
PB.91.2987	10	3	1	4	4
PB.91.2994	36	7	12	28	27
PB.91.2999	1	1	1	1	1
PB.91.3005	2	2	1	1	2
PB.91.3015	76	54	49	68	121
PB.91.3021	1	4	9	3	4
PB.91.3050	17	1	2	2	2
PB.91.3075	3	1	2	2	1
PB.91.3135	20	13	11	7	18
PB.91.3136	12	12	6	7	2
PB.91.3156	2	1	1	2	1
PB.91.3169	1	1	2	2	7
PB.91.3172	76	30	44	79	88
PB.91.3191	3	1	1	6	3
PB.91.3196	17	5	2	5	2
PB.91.3202	3	1	2	1	2
PB.91.3206	68	26	25	54	79
PB.91.3249	14	3	6	5	14
PB.91.3252	831	312	318	1059	1623
PB.91.3254	9	3	2	8	10
PB.91.3347	43	9	13	44	35
PB.91.3398	29	12	10	54	64
PB.91.3400	27	14	9	34	24
PB.91.3426	19	3	1	4	6
PB.91.3433	10	2	5	10	27
PB.91.3434	20	10	10	25	33
PB.91.3462	39	11	16	80	115
PB.91.3506	5	4	3	2	4
PB.91.3524	67	26	43	55	78
PB.91.3565	63	15	13	27	38
PB.91.3566	16	3	3	10	10
PB.91.3568	22	3	4	7	18
PB.91.3589	98	32	21	67	128
PB.91.3592	1	1	1	4	8
PB.91.3594	4	2	1	6	3
PB.91.3631	11	3	1	14	9
PB.91.3643	15	5	1	2	7
PB.91.3644	4	3	3	2	11
PB.91.3666	10	4	1	5	11
PB.91.3685	15	2	2	13	2
PB.91.3686	6	1	1	6	3
PB.91.3699	157	89	34	113	178
PB.91.3701	8	7	5	12	18
PB.91.3702	9	3	4	7	6
PB.91.3744	4	3	3	3	1
PB.91.3748	24	17	1	39	12
PB.91.3766	29	11	7	120	42
PB.91.3774	12	4	5	34	16
PB.91.3793	10	2	3	4	6
PB.91.3797	138	48	47	79	106
PB.91.3802	9	5	6	6	9
PB.91.3804	2	1	3	4	1
PB.91.3805	2	3	3	8	4
PB.91.3838	330	166	130	193	257
PB.91.3839	27	9	15	16	23
PB.91.3840	13	12	10	21	19
PB.91.3844	1	2	3	2	4
PB.91.3890	7	3	1	10	6
PB.91.3901	12	7	1	3	3
PB.91.3916	8	3	1	1	2
PB.91.3918	22	2	3	9	4
PB.91.3943	8	4	2	8	10
PB.91.3956	176	162	94	429	473
PB.91.4012	25	5	9	25	17
PB.91.4019	38	9	5	48	27
PB.91.4025	13	2	1	3	14
PB.91.4038	2	1	1	4	2
PB.91.4044	6	1	1	5	3
PB.91.4049	17	3	5	6	6
PB.91.4063	36	2	8	35	34
PB.91.4122	16	4	6	10	2
PB.91.4137	18	9	4	19	13
PB.91.4144	33	15	4	60	19
PB.91.4145	13	3	2	10	4
PB.91.4146	8	5	3	13	4
PB.91.4157	38	16	8	29	14
PB.91.4163	5	4	9	8	4
PB.91.4178	57	3	6	22	8
PB.91.4224	13	1	2	10	2
PB.91.4234	3	1	2	4	2
PB.91.4239	7	1	1	3	1
PB.91.4240	2	1	1	3	3
PB.91.4304	314	94	29	161	22
PB.91.4306	40	10	11	26	6
PB.91.4325	30	15	24	108	152
PB.91.4336	46	24	15	78	75
PB.91.4339	15	6	10	39	26
PB.91.4369	14	10	5	22	23
PB.91.4370	30	18	7	40	63
PB.91.4402	4	2	1	4	5
PB.91.4409	11	4	4	29	12
PB.91.4416	5	5	1	1	14
PB.91.4441	5	5	4	14	5
PB.91.4453	43	15	12	55	65
PB.91.4454	58	15	14	44	62
PB.91.4489	14	7	3	3	1
PB.91.4505	13	2	2	18	15
PB.91.4517	26	7	8	19	19
PB.91.4521	20	4	3	23	16
PB.91.4563	18	7	3	41	26
PB.91.4577	4	1	2	5	7
PB.91.4587	108	63	52	160	171
PB.91.4589	2	1	1	5	2
PB.91.4591	6	1	4	1	1
PB.91.4592	12	3	9	34	14
PB.91.4595	1	4	1	1	1
PB.91.4597	9	4	4	19	6
PB.91.4637	9	9	9	7	12
PB.91.4656	4	4	1	14	7
PB.91.4670	3	1	1	2	3
PB.91.4674	15	4	3	9	5
PB.91.4675	1	1	4	6	4
PB.91.4703	9	4	1	6	6
PB.91.4716	130	58	25	90	206
PB.91.4749	7	3	1	13	3
PB.91.4756	6	5	3	3	6
PB.91.4758	15	5	3	25	27
PB.91.4779	4	1	1	1	4
PB.91.4782	4	3	1	6	4
PB.91.4784	8	6	2	8	11
PB.91.4809	22	9	2	16	9
PB.91.4839	39	13	3	22	10
PB.91.4841	2	3	2	5	2
PB.91.4842	6	1	1	5	5
PB.91.4871	48	13	6	39	26
PB.91.4877	10	1	2	5	8
PB.91.4889	1	1	1	6	1
PB.91.4962	16	9	10	52	47
PB.91.4967	143	69	49	123	251
PB.91.4972	4	2	3	2	14
PB.91.5022	30	14	16	60	130
PB.91.5070	16	3	2	10	5
PB.91.5085	31	10	13	14	21
PB.91.5111	6	3	1	4	4
PB.91.5113	6	1	1	2	2
PB.91.5133	4	2	1	2	1
PB.91.5171	5	4	1	5	1
PB.91.5182	10	2	1	13	1
PB.91.5187	6	2	2	2	1
PB.91.5189	346	209	95	470	868
PB.91.5190	454	229	177	763	1198
PB.91.5340	8	3	2	3	11
PB.91.5346	311	155	59	413	414
PB.91.5348	7	3	1	10	6
PB.91.5405	14	6	1	4	8
PB.91.5410	7	4	5	8	4
PB.91.5412	3	4	1	7	3
PB.91.5414	178	84	30	183	213
PB.91.5415	8	1	1	8	7
PB.91.5420	18	6	1	18	17
PB.91.5470	7	6	4	29	12
PB.91.5485	2	2	1	3	4
PB.91.5488	16	9	6	25	9
PB.91.5498	26	9	1	20	25
PB.91.5501	6	1	1	8	3
PB.91.5502	17	11	3	18	17
PB.91.5509	5	1	1	1	1
PB.91.5510	15	8	1	8	13
PB.91.5552	8	3	1	7	9
PB.91.5566	4	2	1	2	3
PB.91.5588	20	18	9	43	21
PB.91.5607	10	3	3	12	8
PB.91.5608	13	10	1	11	6
PB.91.5616	6	1	1	7	5
PB.91.5618	1	3	1	4	4
PB.91.5625	1	2	1	4	3
PB.91.5634	28	12	2	18	13
PB.91.5641	3	1	1	2	3
PB.91.5648	3	2	1	1	2
PB.91.5664	8	1	1	4	2
PB.91.5672	2	1	3	9	8
PB.91.5677	4	2	1	8	5
PB.91.5692	20	11	3	28	16
PB.91.5702	16	12	3	19	11
PB.91.5709	30	9	3	38	27
PB.91.5745	5	2	1	9	5
PB.91.5779	11	4	4	12	5
PB.91.5784	17	10	3	23	16
PB.91.5789	6	5	1	10	8
PB.91.5797	12	12	2	23	12
PB.91.5802	13	5	2	16	10
PB.91.5827	2	1	1	6	3
PB.91.5833	7	4	1	12	10
PB.91.5840	9	6	5	25	8
PB.91.5843	8	5	1	8	7
PB.91.5844	19	11	5	45	18
PB.91.5850	26	10	1	19	17
PB.91.5870	26	11	5	36	21
PB.91.5918	3	1	2	1	2
PB.91.5920	8	2	1	8	4
PB.91.5973	4	4	1	5	5
PB.91.5976	63	28	6	65	59
PB.91.5980	14	2	1	9	6
