	Pro1	Pro2	Pro3	R2F01	R2F16
PB.1244.1467	67	43	21	131	73
PB.1244.1474	15	4	5	9	4
PB.1244.1475	18	16	3	50	29
PB.1244.1482	34	13	12	40	20
PB.1244.1483	1	3	2	5	1
PB.1244.1490	1	1	2	3	2
PB.1244.1492	15	2	3	7	1
PB.1244.1496	5	2	1	4	2
PB.1244.1519	7	4	2	13	9
PB.1244.1524	5	3	2	4	3
PB.1244.1584	12	15	14	10	21
PB.1244.1588	8	9	6	15	10
PB.1244.1597	41	26	10	33	16
PB.1244.1600	21	3	4	3	3
PB.1244.1626	18	2	1	3	2
PB.1244.1634	9	5	1	3	2
PB.1244.1646	2	1	1	2	2
PB.1244.1656	7	5	2	2	3
PB.1244.1677	31	11	3	40	12
PB.1244.1696	38	33	29	49	106
PB.1244.1751	3	2	2	3	1
PB.1244.1781	3	2	1	3	2
PB.1244.1789	1	2	2	1	2
PB.1244.1807	4	2	2	5	1
PB.1244.1812	1	2	1	1	1
PB.1244.1822	3	1	1	2	1
PB.1244.1823	1	4	2	3	3
PB.1244.1844	2	3	1	2	2
PB.1244.1847	16	4	13	21	10
PB.1244.1848	14	3	3	2	2
PB.1244.1864	20	6	7	11	16
PB.1244.1866	10	5	7	3	4
PB.1244.1886	17	12	2	7	9
PB.1244.1890	16	7	1	2	3
PB.1244.1896	33	11	11	25	9
PB.1244.1904	180	119	174	116	127
PB.1244.1912	16	1	3	1	1
PB.1244.1932	23	6	12	4	1
PB.1244.1935	131	20	19	14	11
PB.1244.1945	13	2	2	7	5
PB.1244.1952	7	2	3	4	6
PB.1244.1957	13	6	6	8	8
PB.1244.1961	6	2	2	6	1
PB.1244.1979	13	1	2	5	1
PB.1244.2005	8	5	2	22	24
PB.1244.2015	12	2	3	7	6
PB.1244.2024	6	5	5	6	5
PB.1244.2042	11	6	4	5	3
PB.1244.2045	4	3	1	1	2
PB.1244.2052	14	8	10	8	13
PB.1244.2064	2	1	1	2	3
PB.1244.2068	11	7	2	6	11
PB.1244.2071	66	25	12	155	61
PB.1244.2072	17	3	5	11	7
PB.1244.2073	20	4	4	14	10
PB.1244.2075	4	3	2	10	1
PB.1244.2163	17	9	4	26	10
PB.1244.2198	11	10	1	16	4
PB.1244.2211	10	4	5	21	5
PB.1244.2223	4	3	2	2	2
PB.1244.2255	17	5	9	25	9
PB.1244.2256	36	16	11	60	17
PB.1244.2312	5	2	1	3	3
PB.1244.2315	19	4	6	2	2
PB.1244.2319	3	1	1	3	1
PB.1244.2343	3	5	3	9	5
PB.1244.2346	3	2	1	7	1
PB.1244.2379	10	10	1	5	2
PB.1244.2404	23	14	2	11	8
PB.1244.2418	4	2	1	5	1
PB.1244.2422	41	18	2	26	61
PB.1244.2435	4	4	1	3	9
PB.1244.2436	5	1	2	10	4
PB.1244.2441	25	14	8	23	57
PB.1244.2453	5	1	2	1	4
PB.1244.2454	13	1	3	5	8
PB.1244.2482	4	1	4	12	3
PB.1244.2483	4	1	2	3	2
PB.1244.2506	222	104	112	242	524
PB.1244.2507	45	27	45	46	81
PB.1244.2508	42	31	10	96	200
PB.1244.2509	4	6	3	8	15
PB.1244.2510	3	1	3	1	6
PB.1244.2512	1	2	1	8	6
PB.1244.2524	5	6	2	9	10
PB.1244.2535	5	1	2	3	6
PB.1244.2536	12	3	6	5	9
PB.1244.2537	26	12	22	28	26
PB.1244.2540	13	4	7	11	9
PB.1244.2541	7	4	5	2	3
PB.1244.2558	4	4	1	2	5
PB.1244.2563	17	7	2	10	6
PB.1244.2581	8	10	4	14	3
PB.1244.2619	17	6	6	3	5
PB.1244.2620	13	5	11	4	3
PB.1244.2622	5	4	2	2	1
PB.1244.2640	1574	786	430	136	488
PB.1244.2641	13	3	8	2	1
PB.1244.2642	32	12	21	2	2
PB.1244.2648	8	16	1	1	5
PB.1244.2659	4	2	8	1	1
PB.1244.2667	5	10	3	2	1
PB.1244.2697	1	1	1	1	2
PB.1244.2793	31	4	11	3	3
PB.1245.3	7	5	2	4	1
PB.1246.21	10	2	4	13	2
PB.1246.24	8	1	1	5	2
PB.1246.27	12	6	2	12	8
PB.1246.30	2	2	1	4	1
PB.1260.1	157	29	15	205	470
PB.1260.87	9	9	3	22	11
PB.1260.94	9	5	3	10	1
PB.1260.97	13	7	2	11	11
PB.1260.98	5	2	3	8	2
PB.1260.103	1	1	1	1	2
PB.1260.138	680	181	196	812	1272
PB.1260.205	50	8	22	16	31
PB.1260.222	13	10	2	21	20
PB.1260.234	2	1	2	4	2
PB.1260.246	21	12	8	14	14
PB.1260.248	14	3	3	3	2
PB.1260.249	6	3	2	4	8
PB.1260.268	5	2	3	5	9
PB.1260.272	6	5	1	8	7
PB.1260.273	15	14	1	9	16
PB.1260.296	3	2	3	2	2
PB.1260.304	18	5	3	6	5
PB.1260.342	7	4	2	1	8
PB.1260.355	50	21	16	30	63
PB.1260.383	5	4	2	5	6
PB.1298.16	470	215	134	562	592
PB.1298.80	16	1	3	7	3
PB.1298.86	21	2	1	15	13
PB.1298.95	33	11	4	21	19
PB.1298.96	7	2	1	5	3
PB.1298.103	16	5	2	15	4
PB.1298.107	22	4	3	4	4
PB.1298.112	22	3	7	2	5
PB.1298.129	5	1	1	2	2
PB.1298.148	33	12	5	22	16
PB.1298.155	7	1	1	5	2
PB.1298.180	2	1	2	4	2
PB.1298.185	40	15	4	33	19
PB.1298.221	36	16	3	31	34
PB.1309.1	10	6	4	9	3
PB.1313.2	4	1	5	10	2
PB.1329.1	7	2	5	15	6
PB.1329.3	12	10	7	15	9
PB.1332.1	24	19	1	11	16
PB.1332.2	156	61	32	128	43
PB.1332.25	14	5	3	5	4
PB.1332.105	5	5	1	10	6
PB.1332.116	55	30	31	85	75
PB.1332.140	10	2	1	5	3
PB.1332.151	14	2	1	6	12
PB.1332.172	1	1	1	2	2
PB.1332.174	5	1	3	3	3
PB.1332.181	6	4	5	4	4
PB.1332.190	4	2	2	6	4
PB.1332.192	3	2	1	4	4
PB.1332.210	6	2	2	9	7
PB.1332.216	2	3	1	5	3
PB.1332.229	5	1	2	11	3
PB.1332.237	4	2	1	3	4
PB.1332.250	3	1	2	5	5
PB.1332.258	15	2	2	8	4
PB.1332.301	6	1	2	2	1
PB.1332.307	3	4	1	15	3
PB.1332.310	4	1	3	8	4
PB.1332.333	2	4	2	7	3
PB.1378.4	2	1	1	6	2
PB.1378.6	53	15	9	98	59
PB.1378.46	4	2	2	3	4
PB.1378.47	17	1	2	9	19
PB.1378.64	4	2	1	9	4
PB.1381.3	4	2	1	1	2
PB.1392.1	36	10	7	72	47
PB.1392.24	25	4	2	22	8
PB.1392.64	9	2	4	28	15
PB.1392.78	11	2	2	35	10
PB.1392.87	16	5	4	40	15
PB.1392.111	9	1	1	12	3
PB.1395.8	16	20	5	66	69
PB.1395.9	127	60	27	272	308
PB.1395.10	21	2	1	152	61
PB.1395.13	3	2	1	12	11
PB.1395.98	7	8	2	7	8
PB.1395.102	2	5	2	11	4
PB.1395.136	4	1	1	2	7
PB.1395.138	18	2	1	3	4
PB.1395.154	9	2	4	21	11
PB.1395.159	30	17	10	35	60
PB.1395.199	5	2	1	11	2
PB.1395.230	5	1	4	8	1
PB.1395.236	7	5	1	13	9
PB.1395.237	6	2	1	11	4
PB.1395.253	44	23	12	59	102
PB.1395.254	5	3	5	6	15
PB.1395.257	5	1	2	16	5
PB.1395.281	10	1	3	6	5
PB.1395.283	14	2	3	1	10
PB.1395.312	9	3	1	10	4
PB.1395.313	6	2	2	6	7
PB.1395.327	9	1	4	6	3
PB.1395.342	20	6	9	16	11
PB.1395.351	5	1	2	4	4
PB.1395.360	12	1	4	5	3
PB.1395.433	8	2	3	9	9
PB.1395.504	18	9	2	3	3
PB.1395.508	10	2	3	4	2
PB.1395.531	3	1	2	3	2
PB.1395.533	4	5	4	12	8
PB.1395.538	5	2	2	6	9
PB.1395.546	2	2	2	2	1
PB.1395.554	11	1	2	16	9
PB.1395.556	4	1	2	2	3
PB.1395.568	20	5	4	28	7
PB.1395.587	5	3	2	3	1
PB.1395.588	4	1	1	5	1
PB.1395.608	17	5	3	9	5
PB.1395.614	11	4	4	18	10
PB.1395.618	7	3	6	6	6
PB.1395.620	30	12	11	25	23
PB.1395.650	3	1	2	1	3
PB.1395.651	12	11	9	17	20
PB.1395.657	5	1	1	2	2
PB.1395.673	30	13	6	30	12
PB.1395.675	9	1	1	3	1
PB.1395.683	2	3	2	2	8
PB.1395.687	4	1	2	2	12
PB.1395.707	42	19	3	15	42
PB.1395.734	41	7	9	36	52
PB.1395.743	8	3	5	10	15
PB.1395.751	133	46	41	116	152
PB.1395.828	6	2	2	5	4
PB.1395.844	10	5	3	11	6
PB.1395.896	6	3	2	6	5
PB.1395.910	2	2	2	2	2
PB.1395.911	1	2	2	2	1
PB.1395.918	2	2	1	2	6
PB.1395.919	10	2	1	8	13
PB.1395.951	27	14	4	19	19
PB.1395.965	6	1	1	5	4
PB.1395.972	34	21	5	18	28
PB.1395.978	22	11	2	25	29
PB.1395.985	23	11	7	20	22
PB.1395.998	7	4	1	4	10
PB.1395.1002	3	1	1	2	1
PB.1395.1007	19	11	2	8	12
PB.1395.1017	5	2	2	1	3
PB.1395.1024	1	2	5	2	1
PB.1395.1028	1707	613	797	1645	1277
PB.1395.1031	3	2	2	5	6
PB.1395.1036	4	2	2	2	3
PB.1395.1130	7	2	2	2	3
PB.1395.1136	13	3	7	6	9
PB.1395.1137	4	5	1	1	3
PB.1395.1138	3	3	5	2	5
PB.1395.1158	6	2	3	3	1
PB.1395.1166	20	3	2	5	1
PB.1395.1181	6	1	1	8	1
PB.1395.1223	2	3	2	7	3
PB.1395.1228	1132	502	449	1038	1808
PB.1395.1238	29	11	12	17	25
PB.1395.1240	2	1	1	2	2
PB.1395.1353	7	3	1	5	14
PB.1395.1527	519	157	347	563	648
PB.1395.1540	11	8	11	16	8
PB.1395.1643	212	88	131	333	413
PB.1395.1677	179	24	48	61	49
PB.1395.1701	45	5	24	19	17
PB.1395.1708	448	61	171	104	125
PB.1395.1721	11	8	3	14	10
PB.1395.1722	7	4	2	3	11
PB.1395.1725	13	18	9	51	19
PB.1395.1731	19	8	8	29	17
PB.1395.1741	5	2	1	7	5
PB.1395.1745	7	1	1	1	4
PB.1395.1751	20	15	2	29	10
PB.1395.1754	28	12	9	19	17
PB.1395.1767	14	1	1	3	3
PB.1395.1776	31	3	9	9	11
PB.1395.1783	3	4	1	1	3
PB.1395.1788	44	3	5	7	8
PB.1395.1794	10	3	4	12	10
PB.1395.1799	39	16	19	40	21
PB.1395.1817	24	11	3	31	14
PB.1395.1824	14	2	2	21	6
PB.1395.1840	7	7	5	10	6
PB.1395.1859	32	8	16	33	24
PB.1395.1867	50	15	25	44	54
PB.1395.1892	2	4	1	6	4
PB.1395.1894	4	4	1	15	8
PB.1395.1909	7	2	1	3	5
PB.1395.1923	5	1	2	8	2
PB.1395.1926	4	1	1	11	4
PB.1395.1943	4	2	1	9	5
PB.1395.1977	4	1	2	2	1
PB.1395.2000	1	1	1	1	1
PB.1395.2002	17	2	1	7	4
PB.1395.2007	16	2	3	6	5
PB.1395.2020	14	6	2	18	13
PB.1395.2049	6	2	1	8	1
PB.1395.2053	2	3	1	10	7
PB.1395.2064	7	4	3	11	9
PB.1395.2081	19	7	6	30	15
PB.1395.2090	22	7	4	14	10
PB.1395.2094	20	17	3	29	8
PB.1395.2101	4	1	1	2	1
PB.1395.2110	28	10	3	48	35
PB.1395.2119	7	5	2	13	11
PB.1395.2146	10	6	1	12	18
PB.1395.2159	13	1	1	4	1
PB.1395.2161	15	2	2	11	6
PB.1395.2167	3	1	1	2	1
PB.1395.2169	9	2	1	5	4
PB.1395.2182	2	3	2	11	9
PB.1395.2201	8	3	2	5	7
PB.1395.2202	2	1	1	2	2
PB.1395.2329	20	2	1	9	5
PB.1395.2360	11	9	1	3	7
PB.1395.2389	1	1	1	1	3
PB.1407.46	9	4	6	17	12
PB.1407.49	12	6	5	7	7
PB.1407.64	22	11	5	37	12
PB.1407.68	4	1	1	3	1
PB.1407.103	29	17	21	22	26
PB.1407.104	2	1	2	2	2
PB.1407.123	16	6	4	3	5
PB.1407.129	20	3	2	10	3
PB.1407.130	124	23	17	28	23
PB.1407.131	84	23	25	85	103
PB.1407.134	26	5	4	17	20
PB.1407.136	36	5	3	10	12
PB.1407.137	4	1	2	1	1
PB.1407.138	40	18	8	24	31
PB.1407.143	23	4	4	22	28
PB.1407.146	54	5	11	10	8
PB.1407.147	3	2	1	1	2
PB.1407.152	12	6	3	16	11
PB.1407.155	25	11	3	17	21
PB.1407.186	11	1	1	4	1
PB.1407.188	4	3	2	5	5
PB.1407.190	20	6	3	13	6
PB.1407.206	7	4	3	6	10
PB.1407.219	12	1	1	11	8
PB.1407.221	2	1	1	1	1
PB.1407.232	2	1	1	2	2
PB.1407.251	3	1	1	3	1
PB.1407.254	20	5	1	5	10
PB.1407.257	8	3	2	3	3
PB.1407.265	8	1	2	4	6
PB.1407.269	6	1	1	2	2
PB.1407.275	10	3	1	1	5
PB.1407.278	9	5	3	5	10
PB.1407.286	16	1	2	6	11
PB.1407.293	10	2	1	1	6
PB.1407.299	9	1	3	4	11
PB.1407.304	29	4	5	17	18
PB.1407.305	8	1	1	2	2
PB.1407.331	8	3	1	6	4
PB.1407.335	3	1	1	4	1
PB.1407.347	8	9	7	9	9
PB.1407.351	15	6	2	10	3
PB.1407.373	5	3	2	4	2
PB.1407.394	3	3	1	1	2
PB.1407.395	6	1	2	1	1
PB.1407.396	323	127	125	222	171
PB.1407.397	186	60	64	202	126
PB.1407.401	109	45	25	61	83
PB.1407.402	3	6	1	4	6
PB.1407.406	11	5	5	12	8
PB.1407.409	9	8	3	18	15
PB.1407.414	11	3	3	3	5
PB.1407.467	15	14	7	16	41
PB.1407.539	3	3	3	3	2
PB.1407.629	5	2	1	2	1
PB.1407.649	5	1	2	3	1
PB.1407.677	4	2	1	4	2
PB.1407.722	49	31	25	47	89
PB.1407.723	5	4	3	14	9
PB.1407.724	3	2	1	2	3
PB.1407.741	1	2	1	2	3
PB.1407.807	10	7	6	13	10
PB.1407.810	25	11	9	24	7
PB.1407.839	15	3	7	8	2
PB.1407.860	3	5	1	8	3
PB.1407.869	21	6	11	31	3
PB.1407.874	12	5	12	12	1
PB.1407.875	8	2	1	8	4
PB.1407.884	13	7	2	21	6
PB.1407.886	6	5	1	24	1
PB.1407.918	10	4	1	9	4
PB.1407.925	22	3	9	19	3
PB.1407.929	4	3	3	4	1
PB.1407.931	18	4	8	16	4
PB.1407.939	14	5	1	6	10
PB.1407.944	4	1	5	1	4
PB.1407.947	11	7	6	18	5
PB.1407.977	109	47	18	63	181
PB.1407.986	94	41	43	94	20
PB.1407.998	3	2	1	4	1
PB.1407.1063	5	3	3	3	2
PB.1407.1064	5852	2534	2219	5395	5779
PB.1407.1065	217	57	44	137	91
PB.1407.1066	96	17	13	85	28
PB.1407.1067	88	40	36	147	81
PB.1407.1068	50	16	30	41	33
PB.1407.1070	13	4	5	17	7
PB.1407.1072	12	3	1	2	6
PB.1407.1075	8	5	3	14	10
PB.1407.1077	2	1	1	3	2
PB.1407.1089	11	5	1	2	1
PB.1407.1115	14	4	6	13	5
PB.1407.1123	5	6	3	1	4
PB.1407.1140	41	19	16	14	49
PB.1407.1149	5	4	2	9	3
PB.1407.1174	5	4	3	3	5
PB.1407.1286	13	2	4	8	9
PB.1407.1293	11	2	1	6	6
PB.1407.1298	17	9	3	27	12
PB.1407.1309	11	1	1	7	1
PB.1407.1316	18	6	3	19	10
PB.1407.1333	11	1	2	4	3
PB.1407.1370	5	9	4	6	14
PB.1407.1371	65	21	34	15	81
PB.1407.1372	226	87	115	81	109
PB.1407.1373	55	15	72	25	33
PB.1407.1377	46	28	55	26	28
PB.1407.1382	60	32	134	28	38
PB.1407.1390	3	1	2	1	1
PB.1407.1434	3	3	2	6	4
PB.1407.1635	14	3	5	4	1
PB.1407.1636	8	3	2	10	2
PB.1407.1649	11	7	4	10	6
PB.1407.1700	7	1	1	5	1
PB.1407.1742	1	1	1	2	2
PB.1407.1743	14	5	6	11	8
PB.1407.1751	8	2	4	9	4
PB.1407.1780	11	5	2	12	6
PB.1407.1781	14	9	3	18	3
PB.1412.4	48	22	25	109	109
PB.1412.47	7	4	1	5	2
PB.1412.59	8	3	1	12	10
PB.1412.65	5	1	2	8	4
PB.1412.104	2	2	1	3	1
PB.1412.127	6	5	2	10	7
PB.1412.151	18	6	3	17	9
PB.1412.153	5	2	1	7	3
PB.1412.165	31	8	12	27	41
PB.1412.166	15	2	1	4	5
PB.1412.215	4	3	3	4	10
PB.1412.239	8	3	1	9	14
PB.1412.240	3	1	1	3	2
PB.1412.245	2	1	1	5	7
PB.1412.311	6	1	2	10	8
PB.1434.3	7	1	2	2	5
PB.1435.1	23	13	12	39	29
PB.1436.1	38	10	23	27	20
PB.1436.6	5	1	1	2	6
PB.1436.7	2	1	2	1	2
PB.1436.13	6	2	1	4	3
PB.1436.15	12	1	9	3	4
PB.1436.17	7	2	3	7	4
PB.1436.64	5	6	2	9	9
PB.1436.117	9	2	2	18	8
PB.1436.140	5	1	2	4	1
PB.1436.163	9	9	2	31	20
PB.1436.172	10	1	2	6	5
PB.1479.32	248	52	40	126	120
PB.1479.33	8	1	4	1	5
PB.1483.13	31	6	3	40	48
PB.1483.19	18	1	2	4	3
PB.1483.21	2	1	1	1	1
PB.1483.67	24	4	3	18	23
PB.1483.72	7	3	1	4	6
PB.1483.80	19	4	2	22	29
PB.1524.2	14	9	1	12	27
PB.1524.5	6	3	4	22	1
PB.1526.1	102	59	34	209	233
PB.1526.38	22	6	11	31	66
PB.1526.69	13	6	8	15	15
PB.1531.2	3	5	1	2	1
PB.1532.1	5	2	2	3	8
PB.1537.1	7	4	4	3	13
PB.1537.2	16	1	5	13	12
PB.1537.4	2	1	5	2	2
PB.1539.4	86	50	35	89	107
PB.1539.63	6	3	3	2	2
PB.1539.82	10	2	1	5	2
PB.1547.2	16	4	2	101	38
PB.1547.3	4	1	1	15	7
PB.1549.23	3	2	2	2	3
PB.1549.63	18	9	4	6	6
PB.1549.71	16	3	6	3	12
PB.1549.80	6	1	2	1	2
PB.1549.115	260	138	72	68	140
PB.1549.118	537	217	226	106	164
PB.1549.271	180	28	39	21	31
PB.1549.284	2260	824	895	2066	1858
PB.1549.507	130	16	25	13	6
PB.1549.523	3	3	1	6	3
PB.1549.534	101	13	19	15	15
PB.1549.548	29	13	1	23	20
PB.1549.554	15	20	8	21	19
PB.1549.555	10	5	6	6	10
PB.1551.1	4	1	2	2	2
PB.1551.2	24	12	11	45	66
PB.1551.3	140	43	60	310	300
PB.1551.4	32	9	6	10	15
PB.1551.6	20	7	15	36	41
PB.1551.9	2	1	1	9	3
PB.1551.18	20	7	4	39	40
PB.1551.19	1	3	1	1	1
PB.1551.55	6	2	3	13	1
PB.1551.81	10	4	2	3	3
PB.1560.25	500	298	146	604	626
PB.1560.30	3	2	1	5	3
PB.1560.102	340	165	65	252	313
PB.1560.103	1	1	2	3	1
PB.1560.137	12	2	1	2	6
PB.1560.149	21	3	2	19	9
PB.1560.167	4	1	4	6	2
PB.1560.172	1	1	1	4	2
PB.1560.178	102	36	10	43	50
PB.1560.188	3	1	2	7	3
PB.1560.212	6	4	1	4	1
PB.1560.238	10	1	3	8	1
PB.1560.239	13	1	1	4	2
PB.1560.247	10	8	3	8	7
PB.1560.266	5	3	1	2	2
PB.1560.271	19	16	4	20	24
PB.1560.281	7	8	2	10	9
PB.1560.309	4	3	3	6	4
PB.1560.322	3	3	2	4	1
PB.1560.324	18	9	2	12	10
PB.1560.331	3	4	1	9	2
PB.1560.352	8	3	2	3	1
PB.1560.359	12	3	1	3	5
PB.1560.377	8	2	1	6	2
PB.1560.387	113	18	20	27	30
PB.1560.388	41	5	11	10	15
PB.1560.390	14	1	2	4	6
PB.1560.396	2	1	1	1	1
PB.1560.420	19	2	2	5	2
PB.1560.421	131	41	36	37	37
PB.1560.422	177	86	72	57	69
PB.1560.423	12	7	7	4	7
PB.1560.424	19	9	6	10	12
PB.1560.425	13	1	3	3	1
PB.1560.462	124	32	14	63	44
PB.1560.463	73	18	19	60	58
PB.1560.465	30	8	3	11	19
PB.1560.466	26	8	8	8	7
PB.1560.467	3	1	4	1	2
PB.1560.468	13	1	2	2	1
PB.1560.469	96	28	8	58	82
PB.1560.471	6	1	3	1	1
PB.1560.493	10	3	2	1	3
PB.1560.497	18	7	2	3	5
PB.1560.503	22	5	2	4	5
PB.1560.514	9	3	2	6	4
PB.1560.517	9	4	2	2	2
PB.1560.518	6	1	1	3	3
PB.1560.522	9	4	2	3	6
PB.1560.537	28	11	2	11	7
PB.1560.541	42	10	11	20	24
PB.1560.542	5	3	3	7	3
PB.1560.543	21	8	9	12	19
PB.1560.578	21	6	2	4	5
PB.1560.580	20	3	4	5	9
PB.1560.590	11	1	2	1	4
PB.1560.592	13	3	2	4	2
PB.1560.593	43	5	7	9	11
PB.1560.595	59	3	10	11	19
PB.1560.596	11	2	1	4	2
PB.1560.617	129	19	34	74	35
PB.1560.618	416	137	188	277	203
PB.1560.619	146	39	30	61	65
PB.1560.620	281	125	85	140	144
PB.1560.622	6	3	3	3	6
PB.1560.625	40	15	21	9	20
PB.1560.628	5	6	2	1	1
PB.1560.632	12	1	8	5	1
PB.1560.669	14	3	1	11	5
PB.1560.674	3	1	1	1	1
PB.1560.679	29	13	3	30	18
PB.1560.695	5	2	2	3	1
PB.1560.700	24	4	5	14	7
PB.1560.701	13	8	1	13	3
PB.1560.724	14	9	2	18	12
PB.1560.754	6	1	1	4	2
PB.1560.756	22	3	1	12	9
PB.1560.764	52	18	5	19	26
PB.1560.773	22	7	7	12	7
PB.1560.783	30	12	4	8	3
PB.1560.787	22	5	8	6	4
PB.1560.790	36	8	7	10	10
PB.1560.791	19	5	2	4	2
PB.1560.799	26	9	9	21	10
PB.1560.807	8	1	2	1	2
PB.1560.825	3	2	2	2	2
PB.1560.863	276	158	54	271	501
PB.1560.902	97	51	20	95	178
PB.1560.908	69	33	23	67	110
PB.1560.935	50	20	12	35	54
PB.1560.961	7	3	1	6	8
PB.1560.966	4	3	1	5	3
PB.1560.976	1	1	1	3	1
PB.1560.1008	3	1	1	6	4
PB.1560.1019	19	8	4	21	14
PB.1560.1022	11	2	4	15	6
PB.1560.1025	3	1	2	7	7
PB.1560.1028	10	3	5	17	9
PB.1560.1031	4	2	4	13	9
PB.1560.1043	8	3	1	19	4
PB.1560.1049	8	6	2	12	5
PB.1560.1058	12	5	1	4	5
PB.1560.1059	13	11	2	27	20
PB.1560.1061	12	9	4	21	14
PB.1560.1065	5	6	4	17	5
PB.1560.1069	2	1	1	4	1
PB.1560.1070	4	1	2	3	1
PB.1560.1103	7	2	1	7	5
PB.1560.1117	3	1	1	1	2
PB.1560.1124	3	2	2	4	1
PB.1560.1125	10	3	2	7	5
PB.1560.1140	16	5	1	15	15
PB.1560.1150	22	3	4	18	12
PB.1560.1175	15	4	3	26	10
PB.1560.1185	17	5	2	2	7
PB.1560.1205	8	6	1	16	6
PB.1560.1215	26	11	9	15	25
PB.1560.1229	13	3	2	8	18
PB.1560.1230	67	8	5	13	25
PB.1560.1231	9	7	6	4	6
PB.1560.1232	7	3	1	4	5
PB.1560.1250	26	1	2	3	5
PB.1560.1251	4	1	1	1	2
PB.1560.1262	25	17	8	48	19
PB.1560.1277	3	2	3	8	6
PB.1560.1286	10	1	1	15	4
PB.1560.1287	6	2	1	9	8
PB.1560.1291	14	6	5	19	14
PB.1560.1327	5	2	3	11	5
PB.1560.1349	32	6	2	9	15
PB.1560.1357	10	6	3	9	13
PB.1560.1361	7	2	1	8	10
PB.1560.1363	11	4	3	10	10
PB.1560.1366	11	3	4	14	10
PB.1560.1379	10	6	2	16	11
PB.1560.1403	23	10	5	19	17
PB.1560.1410	53	24	5	19	40
PB.1560.1422	7	2	2	13	4
PB.1560.1432	24	3	3	11	17
PB.1560.1437	12	1	1	7	3
PB.1560.1440	9	4	1	4	5
PB.1560.1444	10	5	1	10	5
PB.1560.1448	14	1	1	9	7
PB.1560.1459	11	2	1	7	6
PB.1560.1470	15	5	2	27	22
PB.1560.1474	3	2	1	5	6
PB.1560.1501	6	5	1	8	8
PB.1560.1509	31	22	5	37	24
PB.1560.1513	13	9	4	18	13
PB.1560.1524	10	1	2	17	5
PB.1560.1534	10	2	2	5	6
PB.1560.1536	5	1	1	4	6
PB.1560.1545	3	1	1	2	3
PB.1560.1551	8	3	1	2	1
PB.1560.1555	15	10	1	29	13
PB.1560.1560	7	7	5	15	7
PB.1560.1562	12	1	2	10	3
PB.1560.1566	7	2	4	8	8
PB.1560.1570	1	1	2	1	2
PB.1560.1587	27	11	1	9	13
PB.1560.1603	4	2	1	6	7
PB.1560.1607	18	3	2	33	8
PB.1560.1621	23	9	4	11	11
PB.1560.1622	22	3	1	7	10
PB.1560.1628	1	2	1	4	3
PB.1560.1643	2	1	1	2	2
PB.1560.1656	5	10	1	6	6
PB.1560.1662	24	7	4	54	26
PB.1560.1665	8	3	1	9	5
PB.1560.1676	21	9	1	36	21
PB.1560.1694	5	8	3	6	5
PB.1560.1706	7	5	1	13	11
PB.1560.1712	4	2	3	3	1
PB.1560.1714	9	4	3	12	7
PB.1560.1725	3	2	1	9	8
PB.1560.1738	8	4	3	17	5
PB.1560.1760	10	11	6	9	19
PB.1560.1762	2	1	2	1	1
PB.1560.1784	5	4	2	10	4
PB.1560.1795	7	4	2	3	5
PB.1560.1796	2	1	2	9	2
PB.1560.1801	10	6	1	10	7
PB.1560.1823	7	5	5	12	7
PB.1560.1839	10	3	1	6	2
PB.1560.1865	18	4	3	32	20
PB.1560.1866	8	2	4	12	3
PB.1560.1874	8	2	2	6	2
PB.1560.1885	12	3	2	27	18
PB.1560.1894	10	10	1	17	9
PB.1560.1903	22	5	5	12	14
PB.1560.1910	29	16	5	42	19
PB.1560.1916	4	1	1	5	2
PB.1560.1920	24	4	4	35	12
PB.1560.1934	8	3	1	15	5
PB.1560.1937	1	3	1	6	4
PB.1560.1976	4	1	1	7	3
PB.1560.1988	4	4	1	15	1
PB.1560.1992	15	11	5	63	33
PB.1560.2030	11	4	1	22	13
PB.1560.2039	6	7	1	15	4
PB.1560.2054	6	4	1	9	3
PB.1560.2064	7	6	1	9	4
PB.1560.2068	8	2	4	9	4
PB.1560.2076	22	15	4	43	34
PB.1560.2079	15	11	4	42	15
PB.1560.2084	26	7	7	32	10
PB.1560.2103	6	3	5	8	11
PB.1560.2117	4	2	1	2	1
PB.1560.2125	4	1	1	1	1
PB.1560.2135	7	3	2	19	9
PB.1560.2141	3	2	1	1	1
PB.1560.2160	11	11	4	33	21
PB.1560.2166	3	3	2	4	2
PB.1560.2169	10	4	2	16	14
PB.1560.2172	16	9	1	22	16
PB.1560.2179	10	7	5	18	6
PB.1560.2183	13	9	6	31	21
PB.1560.2197	9	4	2	5	9
PB.1560.2220	11	2	1	10	2
PB.1560.2222	1	1	1	1	1
PB.1560.2261	10	3	1	2	8
PB.1560.2269	10	3	1	3	11
PB.1560.2281	4	3	1	1	2
PB.1560.2313	8	3	2	15	10
PB.1560.2323	6	7	4	22	2
PB.1560.2327	8	7	2	34	7
PB.1560.2372	22	1	5	48	25
PB.1560.2392	5	4	1	9	12
PB.1560.2402	5	1	1	5	10
PB.1560.2412	19	5	1	15	23
PB.1560.2421	4	3	1	1	2
PB.1560.2428	17	9	1	22	22
PB.1560.2467	5	1	1	4	3
PB.1560.2470	2	1	1	3	3
PB.1560.2493	11	2	1	7	3
PB.1560.2501	24	6	1	25	17
PB.1560.2506	3	2	2	7	1
PB.1560.2517	8	3	4	7	6
PB.1560.2531	14	8	1	16	12
